Job Name,Business Capability,Date Posted,Senior Level,Salary
Software Engineer,IT,15-02-22,Senior,120000
Data Analyst,Analytics,20-03-22,Junior,65000
Product Manager,Management,10-01-22,Senior,140000
Graphic Designer,Design,05-05-22,Junior,55000
Marketing Specialist,Marketing,30-04-22,Mid-Level,80000
Financial Analyst,Finance,28-02-22,Mid-Level,90000
Network Administrator,IT,15-06-22,Senior,110000
HR Coordinator,Human Resources,05-03-22,Junior,50000
Customer Support Representative,Customer Service,12-04-22,Junior,52000
Operations Manager,Management,25-01-22,Senior,130000
Sales Associate,Sales,20-05-22,Mid-Level,75000
Research Scientist,Research,10-02-22,Senior,115000
Web Developer,IT,08-03-22,Mid-Level,95000
Accountant,Finance,01-06-22,Mid-Level,85000
Technical Writer,Documentation,18-04-22,Junior,60000
Project Coordinator,Management,15-01-22,Junior,53000
Legal Assistant,Legal,10-05-22,Junior,54000
Customer Success Manager,Customer Service,20-02-22,Senior,125000
UX Designer,Design,25-03-22,Mid-Level,88000
Supply Chain Analyst,Logistics,10-06-22,Mid-Level,92000
Software Engineer,IT,15-02-22,Senior,120000
Data Analyst,Analytics,20-03-22,Junior,65000
Product Manager,Management,10-01-22,Senior,140000
Graphic Designer,Design,05-05-22,Junior,55000
Marketing Specialist,Marketing,30-04-22,Mid-Level,80000
Financial Analyst,Finance,28-02-22,Mid-Level,90000
Network Administrator,IT,15-06-22,Senior,110000
HR Coordinator,Human Resources,05-03-22,Junior,50000
Customer Support Representative,Customer Service,12-04-22,Junior,52000
Operations Manager,Management,25-01-22,Senior,130000
Sales Associate,Sales,20-05-22,Mid-Level,75000
Research Scientist,Research,10-02-22,Senior,115000
Web Developer,IT,08-03-22,Mid-Level,95000
Accountant,Finance,01-06-22,Mid-Level,85000
Technical Writer,Documentation,18-04-22,Junior,60000
Project Coordinator,Management,15-01-22,Junior,53000
Legal Assistant,Legal,10-05-22,Junior,54000
Customer Success Manager,Customer Service,20-02-22,Senior,125000
UX Designer,Design,25-03-22,Mid-Level,88000
Supply Chain Analyst,Logistics,10-06-22,Mid-Level,92000
Human Resources Manager,Human Resources,30-01-22,Senior,135000
Systems Analyst,IT,05-04-22,Mid-Level,97000
Public Relations Specialist,Public Relations,05-02-22,Junior,56000
Software Engineer,IT,15-02-22,Senior,120000
Data Analyst,Analytics,20-03-22,Junior,65000
Product Manager,Management,10-01-22,Senior,140000
Graphic Designer,Design,05-05-22,Junior,55000
Marketing Specialist,Marketing,30-04-22,Mid-Level,80000
Financial Analyst,Finance,28-02-22,Mid-Level,90000
Network Administrator,IT,15-06-22,Senior,110000
HR Coordinator,Human Resources,05-03-22,Junior,50000
Customer Support Representative,Customer Service,12-04-22,Junior,52000
Operations Manager,Management,25-01-22,Senior,130000
Sales Associate,Sales,20-05-22,Mid-Level,75000
Research Scientist,Research,10-02-22,Senior,115000
Web Developer,IT,08-03-22,Mid-Level,95000
Accountant,Finance,01-06-22,Mid-Level,85000
Technical Writer,Documentation,18-04-22,Junior,60000
Project Coordinator,Management,15-01-22,Junior,53000
Legal Assistant,Legal,10-05-22,Junior,54000
Customer Success Manager,Customer Service,20-02-22,Senior,125000
UX Designer,Design,25-03-22,Mid-Level,88000
Supply Chain Analyst,Logistics,10-06-22,Mid-Level,92000
Human Resources Manager,Human Resources,30-01-22,Senior,135000
Systems Analyst,IT,05-04-22,Mid-Level,97000
Public Relations Specialist,Public Relations,05-02-22,Junior,56000
Account Executive,Sales,15-05-22,Senior,118000
Quality Assurance Engineer,IT,18-03-22,Junior,61000
Marketing Coordinator,Marketing,22-01-22,Junior,54000
Software Developer,IT,10-02-22,Senior,125000
Data Scientist,Analytics,15-03-22,Junior,60000
Project Manager,Management,05-01-22,Senior,140000
UX/UI Designer,Design,02-05-22,Mid-Level,85000
Marketing Coordinator,Marketing,25-04-22,Junior,50000
Financial Analyst,Finance,20-02-22,Mid-Level,95000
System Administrator,IT,12-06-22,Senior,110000
HR Specialist,Human Resources,01-03-22,Junior,52000
Customer Service Representative,Customer Service,10-04-22,Junior,54000
Operations Director,Management,30-01-22,Senior,130000
Sales Manager,Sales,18-05-22,Mid-Level,78000
Researcher,Research,15-02-22,Senior,115000
Web Developer,IT,05-03-22,Mid-Level,92000
Accounting Manager,Finance,03-06-22,Mid-Level,88000
Content Writer,Content Creation,20-04-22,Junior,55000
Project Coordinator,Management,10-01-22,Junior,53000
Legal Counsel,Legal,05-05-22,Junior,56000
Customer Success Specialist,Customer Service,25-02-22,Senior,120000
Graphic Designer,Design,20-03-22,Mid-Level,89000
Logistics Coordinator,Logistics,15-06-22,Mid-Level,93000
Human Resources Director,Human Resources,28-01-22,Senior,135000
IT Support Specialist,IT,03-04-22,Mid-Level,97000
Public Relations Coordinator,Public Relations,08-02-22,Junior,58000
Account Manager,Sales,12-05-22,Senior,118000
Quality Assurance Analyst,IT,12-03-22,Junior,62000
Marketing Specialist,Marketing,18-01-22,Junior,55000
Software Engineer,IT,10-02-22,Senior,120000
Data Analyst,Analytics,15-03-22,Junior,65000
Product Manager,Management,05-01-22,Senior,140000
Graphic Designer,Design,02-05-22,Junior,55000
Marketing Specialist,Marketing,25-04-22,Mid-Level,80000
Financial Analyst,Finance,20-02-22,Mid-Level,90000
Network Administrator,IT,12-06-22,Senior,110000
HR Coordinator,Human Resources,01-03-22,Junior,50000
Customer Support Representative,Customer Service,10-04-22,Junior,52000
Operations Manager,Management,30-01-22,Senior,130000
Sales Associate,Sales,18-05-22,Mid-Level,75000
Research Scientist,Research,15-02-22,Senior,115000
Web Developer,IT,05-03-22,Mid-Level,95000
Accountant,Finance,03-06-22,Mid-Level,85000
Technical Writer,Documentation,20-04-22,Junior,60000
Project Coordinator,Management,10-01-22,Junior,53000
Legal Assistant,Legal,05-05-22,Junior,54000
Customer Success Manager,Customer Service,25-02-22,Senior,125000
UX Designer,Design,20-03-22,Mid-Level,88000
Supply Chain Analyst,Logistics,15-06-22,Mid-Level,92000
Human Resources Manager,Human Resources,28-01-22,Senior,135000
Systems Analyst,IT,03-04-22,Mid-Level,97000
Public Relations Specialist,Public Relations,08-02-22,Junior,56000
Account Executive,Sales,12-05-22,Senior,118000
Quality Assurance Engineer,IT,12-03-22,Junior,61000
Marketing Coordinator,Marketing,18-01-22,Junior,54000
Human Resources Specialist,Human Resources,20-06-22,Senior,128000
DevOps Engineer,IT,15-04-22,Mid-Level,98000
Event Coordinator,Event Management,01-02-22,Junior,57000
